activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031740230,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19112"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030089001,SO-19112,ADWITHI AUTOMATION,99381000000014073,salesorder,deleted,false,Zoho Books,
99381000031740229,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19106"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030075045,SO-19106,Annanya Industrial Equipments,99381000001505642,salesorder,deleted,false,Zoho Books,
99381000031740228,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19102"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030075001,SO-19102,METRO ELECTRONICS,99381000006050120,salesorder,deleted,false,Zoho Books,
99381000031740227,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19100"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030065001,SO-19100,ACCURATE WEIGHING SCALES &SERVICES,99381000009394027,salesorder,deleted,false,Zoho Books,
99381000031740226,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19091"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030056001,SO-19091,TRAAS TECH,99381000000364094,salesorder,deleted,false,Zoho Books,
99381000031740225,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19089"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030052533,SO-19089,ACCURATE TRADE LINKS,99381000000114383,salesorder,deleted,false,Zoho Books,
99381000031740224,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19040"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029992035,SO-19040,SA Solutions,99381000013423196,salesorder,deleted,false,Zoho Books,
99381000031740223,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19039"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029989113,SO-19039,Victory Scales,99381000000231096,salesorder,deleted,false,Zoho Books,
99381000031740222,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19038"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029986001,SO-19038,S A WEIGHING SYSTEMS,99381000009083263,salesorder,deleted,false,Zoho Books,
99381000031740221,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19034"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029973074,SO-19034,KRAUS INSTRUMENTS,99381000000309611,salesorder,deleted,false,Zoho Books,
99381000031740220,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19028"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029962089,SO-19028,SURYA ELECTRONICS,99381000002892003,salesorder,deleted,false,Zoho Books,
99381000031740219,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19015"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029936014,SO-19015,THRASS CITY,99381000010337037,salesorder,deleted,false,Zoho Books,
99381000031740218,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-19008"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029929048,SO-19008,SRI KRISHNA ENTERPRISES,99381000009307132,salesorder,deleted,false,Zoho Books,
99381000031740217,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18993"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029919087,SO-18993,"B MALLANNA & CO,.",99381000018047101,salesorder,deleted,false,Zoho Books,
99381000031740216,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18997"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029915103,SO-18997,MASS TECHOLOGY PRAMBRA,99381000029765018,salesorder,deleted,false,Zoho Books,
99381000031740215,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18994"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029915073,SO-18994,SMART WEIGH SOLUTIONS,99381000012283001,salesorder,deleted,false,Zoho Books,
99381000031740214,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18986"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029915001,SO-18986,GOLDEN SCALES,99381000012149129,salesorder,deleted,false,Zoho Books,
99381000031740213,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18975"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029868001,SO-18975,BEETA SCALES,99381000001702591,salesorder,deleted,false,Zoho Books,
99381000031740212,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18970"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029860001,SO-18970,Electro Technologies,99381000001091033,salesorder,deleted,false,Zoho Books,
99381000031740211,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18961"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029842666,SO-18961,KRAUS INSTRUMENTS,99381000000309611,salesorder,deleted,false,Zoho Books,
99381000031740210,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18964"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029833015,SO-18964,SAMSUI SCALE COMPANY,99381000014052005,salesorder,deleted,false,Zoho Books,
99381000031740209,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18945"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029825001,SO-18945,METRO ELECTRONICS,99381000006050120,salesorder,deleted,false,Zoho Books,
99381000031740208,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18927"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029792054,SO-18927,MASS TECHNOLOGY,99381000000014461,salesorder,deleted,false,Zoho Books,
99381000031740207,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18917"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029765027,SO-18917,MASS TECHOLOGY PRAMBRA,99381000029765018,salesorder,deleted,false,Zoho Books,
99381000031740206,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18913"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029752591,SO-18913,Victory Scales,99381000000231096,salesorder,deleted,false,Zoho Books,
