PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,YSA DISPLAY WITH KEYS,YDWK,unit,1.00,1.00,220.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Price Computing scale,ATMPC,unit,1.00,1.00,1950.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W PRINTER CASE,ECS806,unit,1.00,1.00,250.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Front Display Board (Red),BPC111,unit,1.00,1.00,130.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q8LBL Dot Matrix Display Set,Q8602,unit,1.00,1.00,1250.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS INDICATOR / ECS 4W DISPLAY  FRONT,ECS850,unit,1.00,1.00,1200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,PRINTER Set Lable scale,Q9702,unit,1.00,1.00,7500.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 40 kg: 130 mm,LKM401,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Shearbeam Loadcell 1000kg,SBLC1T,unit,1.00,1.00,680.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ACS 825B,A825,unit,1.00,1.00,907.930000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS INDICATOR KEYPAD,ECSINK,unit,1.00,1.00,1200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ELECTRONIC WEIGHING SCALE 2000.81g/10mg,JW2000,unit,1.00,1.00,4900.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Platform Scale 50x55,PF5055,unit,1.00,1.00,4600.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,THERMAL PRINTER SGT 88IV USB,TPSU88,unit,1.00,1.00,3200.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER paper install base,Q9726,unit,1.00,1.00,35.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,APCPQ Pole Display,APCPQP,unit,1.00,1.00,130.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Moisture Analyzer  XY100MW (110g/0.001g),YSJ100MW,unit,1.00,1.00,67000.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,BPC50DAD2 WEIGHING PAN,BWP502,unit,1.00,1.00,400.000000,
